consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv
y,30.735,TOUGH,5.072,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,0,0,0,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,0,1,1,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,0,2,2,3,1,crow,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,0,3,3,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,
,,CELL,7.465,1,,,,,,stimuli/images/PICTURE_727.png,CELL,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,,,,,,hose,0,0,0,1,1,,,,,,,,,,,,,,,,,,
,,DEVIL,6.025,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,,,,,,crow,0,1,1,3,1,,,,,,,,,,,,,,,,,,
,,KILLER,5.461,1,,,,,,stimuli/images/PICTURE_697.png,KILLER,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,,,,,,peach,0,2,2,4,1,,,,,,,,,,,,,,,,,,
,,LOSS,3.214,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,,,,,,lobster,0,3,3,2,1,,,,,,,,,,,,,,,,,,
,,CELL,2.83,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,,,,,,chameleon,0,4,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_57.png,CASINO,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,,,,,,stamp,,,,,,0,0,0,12,1,2,2,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_311.png,TOILET,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,,,,,,razor,,,,,,0,1,1,54,1,6,2,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_311.png,FLESH,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,,,,,,razor,,,,,,0,2,2,3,1,1,2,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_93.png,GIRL,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,,,,,,skateboard,,,,,,0,3,3,31,1,4,2,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_667.png,GLASS,5aff493f331e8100018f130d,03/09/1955,2020-09-12_05h41.30.231,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c515918746343ccbe669f,4,,,,,,daisy,,,,,,0,4,4,27,1,3,2,,,,,,,,,,,
