consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran
y,26.51482,TOUGH,15.01449,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,0,0,0,0,1,chameleon,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,0,1,1,4,1,peach,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,0,2,2,1,1,hose,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,0,3,3,2,1,lobster,,,,,,,,,,,,,,,,,
,,GENIUS,15.012065,1,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,chameleon,0,0,0,0,1,,,,,,,,,,,,
,,KILLER,15.00719,1,,,,,,stimuli/images/PICTURE_697.png,KILLER,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,peach,0,1,1,4,1,,,,,,,,,,,,
,,CELL,15.00807,1,,,,,,stimuli/images/PICTURE_727.png,CELL,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,hose,0,2,2,1,1,,,,,,,,,,,,
,,LOSS,15.00344,0,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,crow,0,3,3,3,1,,,,,,,,,,,,
,,MEMORY,15.01574,0,,,,,,stimuli/images/PICTURE_378.png,LOSS,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,lobster,0,4,4,2,1,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_744.png,WEAPON,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,ring,,,,,,0,0,0,50,1,6,1,,,,,
,,,,,,,,,,stimuli/images/PICTURE_327.png,CASINO,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,helmet,,,,,,0,1,1,20,1,3,1,,,,,
,,,,,,,,,,stimuli/images/PICTURE_504.png,YEAR,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,wheel,,,,,,0,2,2,13,1,2,1,,,,,
,,,,,,,,,,stimuli/images/PICTURE_405.png,PLENTY,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,anchor,,,,,,0,3,3,23,1,3,1,,,,,
,,,,,,,,,,stimuli/images/PICTURE_340.png,LETTER,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,mirror,,,,,,0,4,4,24,1,3,1,,,,,
,,,,,,,,,,stimuli/images/PICTURE_203.png,GODS,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,cap,,,,,,0,5,5,30,1,4,1,,,,,
,,,,,,,,,,stimuli/images/PICTURE_380.png,HONEY,5dee10823d67774ac7a2aaec,18/08/1949,2020-09-12_10h38.12.982,proactive3.2,2020.1.2,Win32,60,5f5adea66120081ea0f57a61,5f5c96166a1f024908c33366,2,,,,,,gorilla,,,,,,0,6,6,19,1,2,1,,,,,
