consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv,key_resp_13.keys,key_resp_13.rt,learn_blocks_loop.thisRepN,learn_blocks_loop.thisTrialN,learn_blocks_loop.thisN,learn_blocks_loop.thisIndex,learn_blocks_loop.ran,final_learn_test.thisRepN,final_learn_test.thisTrialN,final_learn_test.thisN,final_learn_test.thisIndex,final_learn_test.ran,prac_wm_test_loop.thisRepN,prac_wm_test_loop.thisTrialN,prac_wm_test_loop.thisN,prac_wm_test_loop.thisIndex,prac_wm_test_loop.ran,wm_recalled1,wm_recall_rt1,wm_probed1,wm_recall_acc1,wm_recalled2,wm_recall_rt2,wm_probed2,wm_recall_acc2,wm_recalled3,wm_recall_rt3,wm_probed3,wm_recall_acc3,wm_recalled4,wm_recall_rt4,wm_probed4,wm_recall_acc4,prac_wm_trial_loop.thisRepN,prac_wm_trial_loop.thisTrialN,prac_wm_trial_loop.thisN,prac_wm_trial_loop.thisIndex,prac_wm_trial_loop.ran,word1,image1,file1,item_type1,word2,image2,file2,item_type2,word4,image4,file4,item_type4,word3,image3,file3,item_type3,wm_test_loop.thisRepN,wm_test_loop.thisTrialN,wm_test_loop.thisN,wm_test_loop.thisIndex,wm_test_loop.ran,wm_trial_loop.thisRepN,wm_trial_loop.thisTrialN,wm_trial_loop.thisN,wm_trial_loop.thisIndex,wm_trial_loop.ran
y,3.049025,TOUGH,3.022975,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,0,0,0,3,1,crow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,0,1,1,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,0,2,2,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,0,3,3,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HELL,3.296765,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,peach,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GENUIS,9.48217,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,chameleon,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DEVIL,4.845715,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,crow,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOSS,4.833895,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,lobster,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CELL,3.91442,1,,,,,,stimuli/images/PICTURE_727.png,CELL,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,hose,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_667.png,BATH,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,daisy,,,,,,0,0,0,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_469.png,LETTER,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,stool,,,,,,0,1,1,42,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_692.png,MONTH,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,cherry,,,,,,0,2,2,16,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_233.png,IDEAS,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,salt,,,,,,0,3,3,28,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_308.png,KIND,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,dice,,,,,,0,4,4,54,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_487.png,FLIGHT,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,basket,,,,,,0,5,5,9,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_380.png,PHOTO,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,gorilla,,,,,,0,6,6,52,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_453.png,PLENTY,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,scissors,,,,,,0,7,7,56,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_255.png,AREA,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,shovel,,,,,,0,8,8,22,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_311.png,BEAUTY,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,razor,,,,,,0,9,9,13,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_708.png,CLIENT,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,monkey,,,,,,0,10,10,5,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_68.png,MILE,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,candle,,,,,,0,11,11,44,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_203.png,ARTIST,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,cap,,,,,,0,12,12,26,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_160.png,LEADER,5eb96457ed4e980484601bf7,29/11/2000,2020-07-08_16h15.45.661,proactive,2020.1.2,MacIntel,60,5f035e5afe130c270d6ae6dd,5f05e30d4925e40b942457e7,6,,,,,,wheelbarrow,,,,,,0,13,13,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
