consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv
y,15.773705,TOUGH,4.1742,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,0,0,0,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,0,1,1,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,0,2,2,0,1,chameleon,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,0,3,3,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,
,,GENIUS,4.94771,1,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,chameleon,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,DEVIL,3.882975,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,crow,0,1,1,3,1,,,,,,,,,,,,,,,,,,
,,?,4.199555,0,,,,,,stimuli/images/PICTURE_727.png,CELL,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,hose,0,2,2,1,1,,,,,,,,,,,,,,,,,,
,,LOSS,9.098965,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,peach,0,3,3,4,1,,,,,,,,,,,,,,,,,,
,,?,2.94922,0,,,,,,stimuli/images/PICTURE_378.png,LOSS,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,lobster,0,4,4,2,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_667.png,PLENTY,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,daisy,,,,,,0,0,0,41,1,5,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_314.png,SAKE,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,perfume,,,,,,0,1,1,7,1,1,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_491.png,ROOF,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,rug,,,,,,0,2,2,24,1,3,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_95.png,STYLE,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,suitcase,,,,,,0,3,3,25,1,3,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_68.png,MILE,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,candle,,,,,,0,4,4,44,1,5,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_491.png,WRITER,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,rug,,,,,,0,5,5,57,1,6,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_123.png,ADVICE,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,dart,,,,,,0,6,6,40,1,5,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_504.png,BODY,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,wheel,,,,,,0,7,7,8,1,1,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_675.png,WEAPON,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,windmill,,,,,,0,8,8,32,1,4,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_453.png,PLENTY,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,scissors,,,,,,0,9,9,56,1,6,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_467.png,DEMON,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,peg,,,,,,0,10,10,23,1,3,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_509.png,PHOTO,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,telephone,,,,,,0,11,11,21,1,3,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_688.png,CASINO,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,runner,,,,,,0,12,12,2,1,1,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_285.png,ADVICE,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,carrot,,,,,,0,13,13,12,1,2,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_667.png,BATH,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,daisy,,,,,,0,14,14,4,1,1,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_308.png,KIND,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,dice,,,,,,0,15,15,54,1,6,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_708.png,YARD,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,monkey,,,,,,0,16,16,29,1,3,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_208.png,THING,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,microphone,,,,,,0,17,17,47,1,5,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_32.png,JUNGLE,5be61e64aa1dd8000142f043,12/12/1952,2020-09-10_07h27.42.506,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a37962074a409d4b91390,2,,,,,,crown,,,,,,0,18,18,45,1,5,0,,,,,,,,,,,
