consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv
y,34.09826,TOUGH,2.08124,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5e83f23755dae215742ef478,06/09/1991,2020-08-27_13h34.20.979,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ee717709fc2436720a86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5e83f23755dae215742ef478,06/09/1991,2020-08-27_13h34.20.979,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ee717709fc2436720a86,1,0,0,0,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5e83f23755dae215742ef478,06/09/1991,2020-08-27_13h34.20.979,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ee717709fc2436720a86,1,0,1,1,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5e83f23755dae215742ef478,06/09/1991,2020-08-27_13h34.20.979,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ee717709fc2436720a86,1,0,2,2,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5e83f23755dae215742ef478,06/09/1991,2020-08-27_13h34.20.979,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ee717709fc2436720a86,1,0,3,3,3,1,crow,,,,,,,,,,,,,,,,,,,,,,,
,,KILLER,4.596795,1,,,,,,stimuli/images/PICTURE_697.png,KILLER,5e83f23755dae215742ef478,06/09/1991,2020-08-27_13h34.20.979,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ee717709fc2436720a86,1,,,,,,peach,0,0,0,4,1,,,,,,,,,,,,,,,,,,
,,GENIUS,2.535485,1,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5e83f23755dae215742ef478,06/09/1991,2020-08-27_13h34.20.979,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ee717709fc2436720a86,1,,,,,,chameleon,0,1,1,0,1,,,,,,,,,,,,,,,,,,
,,LOSS,7.90491,0,,,,,,stimuli/images/PICTURE_727.png,CELL,5e83f23755dae215742ef478,06/09/1991,2020-08-27_13h34.20.979,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ee717709fc2436720a86,1,,,,,,hose,0,2,2,1,1,,,,,,,,,,,,,,,,,,
,,?,15.00331,0,,,,,,stimuli/images/PICTURE_378.png,LOSS,5e83f23755dae215742ef478,06/09/1991,2020-08-27_13h34.20.979,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ee717709fc2436720a86,1,,,,,,lobster,0,3,3,2,1,,,,,,,,,,,,,,,,,,
,,MURDER,3.23365,0,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5e83f23755dae215742ef478,06/09/1991,2020-08-27_13h34.20.979,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ee717709fc2436720a86,1,,,,,,crow,0,4,4,3,1,,,,,,,,,,,,,,,,,,
